run,operation,started,time,status,label,blocker,data_location,dataset,gpu,model,postprune_epochs,preprune_epochs,pruner,save_path,sparsity,step,Accuracy/postprune,Loss/postprune,Sparsity,alignment_score,best_post_acc,best_post_loss,best_pre_acc,best_pre_loss,immediate_post_acc,immediate_post_loss
df18d92a,main.py,2022-05-28 07:27:16,1:12:38,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,magnitude,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.89,160,0.10000000149011612,2.302586793899536,0.9326000213623047,8.69615364074707,0.10000000149011612,2.302497148513794,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.311328649520874
706391c7,main.py,2022-05-28 07:26:33,1:13:54,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,magnitude,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.93,160,0.10000000149011612,2.302584409713745,0.9609000086784363,8.661328315734863,0.10000000149011612,2.302532196044922,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.311328649520874
42b3102f,main.py,2022-05-28 07:25:44,1:22:17,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,magnitude,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.96,160,0.10000000149011612,2.302583694458008,0.9789000153541565,8.741880416870117,0.10000000149011612,2.302525281906128,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.311328649520874
5a200e39,main.py,2022-05-28 07:25:35,1:11:31,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,magnitude,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.98,160,0.10000000149011612,2.3025827407836914,0.991100013256073,8.669717788696289,0.10000000149011612,2.302530527114868,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.311328649520874
f77a0761,main.py,2022-05-28 07:24:03,1:14:41,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,magnitude,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.99,160,0.10000000149011612,2.3025856018066406,0.9965000152587891,8.688623428344727,0.10000000149011612,2.3025107383728027,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.311328649520874
995a62b9,main.py,2022-05-28 07:24:00,1:14:33,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,relative_error,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.89,160,0.9309999942779541,0.32713887095451355,0.9108999967575073,7.809240818023682,0.9322999715805054,0.317625492811203,0.9351999759674072,0.3129197657108307,0.2694999873638153,2.2914023399353027
026e4740,main.py,2022-05-28 07:12:47,1:26:50,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,relative_error,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.93,160,0.9203000068664551,0.40158042311668396,0.9438999891281128,8.706433296203613,0.9208999872207642,0.32995718717575073,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.331777811050415
18c52d29,main.py,2022-05-28 07:11:40,1:17:10,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,relative_error,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.96,160,0.8669999837875366,0.44669780135154724,0.9672999978065491,8.671184539794922,0.8686000108718872,0.4320978820323944,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.3247733116149902
3a104f08,main.py,2022-05-28 06:14:24,1:30:49,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,relative_error,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.98,160,0.6973999738693237,0.8577995896339417,0.9847000241279602,8.668777465820312,0.6973999738693237,0.8493716716766357,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.3127241134643555
8eae6870,main.py,2022-05-28 06:11:49,1:31:31,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,relative_error,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.99,160,0.5354999899864197,1.2732951641082764,0.992900013923645,8.657085418701172,0.5393000245094299,1.265392780303955,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.3089029788970947
9f957fbf,main.py,2022-05-28 06:11:46,1:35:00,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,alignment_output_sampling_proportional,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.89,160,0.10000000149011612,2.3025853633880615,0.9079999923706055,8.705909729003906,0.10000000149011612,2.3025319576263428,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.302539825439453
a016d7de,main.py,2022-05-28 06:10:42,1:36:08,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,alignment_output_sampling_proportional,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.93,160,0.7247999906539917,1.1832761764526367,0.9399999976158142,8.691377639770508,0.7282000184059143,1.0625191926956177,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.3026845455169678
927c5f64,main.py,2022-05-28 06:07:49,1:32:59,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,alignment_output_sampling_proportional,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.96,160,0.6998999714851379,1.1166620254516602,0.9690999984741211,8.644291877746582,0.7080000042915344,1.057251214981079,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.3082377910614014
cac877ee,main.py,2022-05-28 06:02:57,1:35:39,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,alignment_output_sampling_proportional,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.98,160,0.7681000232696533,0.8393498063087463,0.9840999841690063,8.640463829040527,0.7745000123977661,0.7870557308197021,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.30806565284729
a3082b22,main.py,2022-05-28 05:58:40,1:34:44,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,alignment_output_sampling_proportional,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.99,160,0.5834000110626221,1.1695770025253296,0.9927999973297119,8.728744506835938,0.5867000222206116,1.1645292043685913,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.307798147201538
7d7ea5d0,main.py,2022-05-28 05:58:33,1:32:06,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,alignment_output_sampling,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.89,160,0.9059000015258789,0.4854241907596588,0.9132000207901001,8.759875297546387,0.9067999720573425,0.37977030873298645,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.3149666786193848
b81f157a,main.py,2022-05-28 05:55:10,1:32:05,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,alignment_output_sampling,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.93,160,0.8736000061035156,0.600123405456543,0.9430000185966492,8.706204414367676,0.8762999773025513,0.45812878012657166,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.3050107955932617
95487e43,main.py,2022-05-28 05:54:03,1:31:31,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,alignment_output_sampling,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.96,160,0.6959999799728394,1.1668291091918945,0.9671000242233276,8.729148864746094,0.6973999738693237,1.1418604850769043,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.3028833866119385
80d32276,main.py,2022-05-28 05:53:44,1:30:15,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,alignment_output_sampling,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.98,160,0.6069999933242798,1.3765567541122437,0.984000027179718,8.681808471679688,0.6104000210762024,1.3221734762191772,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.3097121715545654
f43f6b82,main.py,2022-05-28 05:52:58,1:33:35,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,alignment_output_sampling,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.99,160,0.10000000149011612,2.3025856018066406,0.9933000206947327,8.645129203796387,0.10000000149011612,2.3024792671203613,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.3034565448760986
573993e0,main.py,2022-05-28 05:52:31,1:33:12,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,alignment_output,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.89,160,0.9283000230789185,0.3489024043083191,0.9111999869346619,7.9882049560546875,0.9300000071525574,0.30781206488609314,0.9351999759674072,0.3129197657108307,0.2632000148296356,2.985247850418091
d32d506e,main.py,2022-05-28 05:51:30,1:32:31,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,alignment_output,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.93,160,0.9151999950408936,0.40724247694015503,0.9398000240325928,9.262725830078125,0.9160000085830688,0.32368069887161255,0.9351999759674072,0.3129197657108307,0.10000000149011612,3.176884889602661
0bd8d11c,main.py,2022-05-28 05:39:32,1:33:15,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,alignment_output,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.96,160,0.8544999957084656,0.45370474457740784,0.9635999798774719,9.034132957458496,0.85589998960495,0.4515755772590637,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.723186731338501
d3ce124c,main.py,2022-05-28 05:38:40,1:32:59,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,alignment_output,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.98,160,0.10000000149011612,2.3025827407836914,0.9835000038146973,8.877615928649902,0.10000000149011612,2.302489995956421,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.4099152088165283
3937df86,main.py,2022-05-28 04:40:16,1:30:25,completed,alignment_output,none,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,alignment_output,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.99,160,0.10000000149011612,2.3025877475738525,0.9939000010490417,8.704172134399414,0.10000000149011612,2.3025283813476562,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.320972442626953
8379094f,main.py,2022-05-28 04:36:59,1:30:49,completed,alignment_output,alds,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,magnitude,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.89,160,0.10000000149011612,2.3025829792022705,0.9043999910354614,8.679889678955078,0.10000000149011612,2.3025407791137695,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.311335802078247
05b37275,main.py,2022-05-28 04:32:51,1:30:05,completed,alignment_output,alds,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,magnitude,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.93,160,0.10000000149011612,2.302586078643799,0.944100022315979,8.707572937011719,0.10000000149011612,2.302492618560791,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.311335802078247
e6aa5252,main.py,2022-05-28 04:27:18,1:31:14,completed,alignment_output,alds,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,magnitude,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.96,160,0.10000000149011612,2.3025853633880615,0.9703999757766724,8.704108238220215,0.10000000149011612,2.3025434017181396,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.311335802078247
c458feaf,main.py,2022-05-28 04:27:03,1:31:35,completed,alignment_output,alds,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,magnitude,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.98,160,0.10000000149011612,2.302584409713745,0.9876999855041504,8.68555736541748,0.10000000149011612,2.3024752140045166,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.311335802078247
7775dcb3,main.py,2022-05-28 04:24:55,1:30:15,completed,alignment_output,alds,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,magnitude,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.99,160,0.10000000149011612,2.302586793899536,0.9954000115394592,8.635272979736328,0.10000000149011612,2.302504301071167,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.311302423477173
121e50fc,main.py,2022-05-28 04:22:36,1:31:26,completed,alignment_output,alds,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,relative_error,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.89,160,0.933899998664856,0.28711071610450745,0.8730999827384949,6.731022834777832,0.9355999827384949,0.28692352771759033,0.9351999759674072,0.3129197657108307,0.414000004529953,1.7723649740219116
f4606aa8,main.py,2022-05-28 04:22:24,1:30:33,completed,alignment_output,alds,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,relative_error,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.93,160,0.9322999715805054,0.31081148982048035,0.9200000166893005,8.747352600097656,0.9330999851226807,0.2938867509365082,0.9351999759674072,0.3129197657108307,0.10119999945163727,2.3375024795532227
4884da92,main.py,2022-05-28 04:22:04,1:31:38,completed,alignment_output,alds,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,relative_error,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.96,160,0.9225000143051147,0.3589070439338684,0.955299973487854,8.660649299621582,0.9233999848365784,0.31127527356147766,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.3238582611083984
20eb310f,main.py,2022-05-28 04:21:27,1:30:02,completed,alignment_output,alds,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,relative_error,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.98,160,0.8863000273704529,0.42192748188972473,0.9779999852180481,8.67225456237793,0.8895000219345093,0.37185540795326233,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.312347888946533
49c89412,main.py,2022-05-28 04:20:39,1:31:51,completed,alignment_output,alds,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,relative_error,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.99,160,0.8411999940872192,0.49872541427612305,0.9891999959945679,8.703274726867676,0.8454999923706055,0.48796603083610535,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.306999921798706
1c4ebb56,main.py,2022-05-28 04:20:12,1:54:10,completed,alignment_output,alds,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,alignment_output_sampling_proportional,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.89,160,0.9186999797821045,0.42661622166633606,0.8744999766349792,8.687182426452637,0.920799970626831,0.3449133634567261,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.3036696910858154
2c89002e,main.py,2022-05-28 04:15:21,1:56:27,completed,alignment_output,alds,~/torch_subspace/data/,cifar10,cuda,vgg16,160,160,alignment_output_sampling_proportional,/home/yliu/torch_subspace/checkpoint/vgg16_cifar10_epoch_160,0.93,160,0.9304999709129333,0.339072585105896,0.9150999784469604,8.722558975219727,0.9304999709129333,0.29698866605758667,0.9351999759674072,0.3129197657108307,0.10000000149011612,2.3244919776916504
